date,close,volume,open,high,low,DoJ Index,Nasdaq Index,P/E ratio,Wiki Traffic,Stochastic Oscillator,Stochastic_Move,William %R,RSI,RSI_Move,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_RSI,Wiki_RSI_Move,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_RSI,Google_RSI_Move,Target1,Target2,Target3,Target4,Target5
5/1/12,83.16143043,152749800,83.55714414,85.25142671,83.03285986,13279.32,3050.439941,14.2,28799,35.54305268,0,-64.45694732,39.80022582,0,28777,27999,29034,29468.2,29322.66667,29285,28865.625,28720.66667,28772,28955.66667,29217.93333,28776.90909,102.8572449,97.72907745,100.0938412,92.28969716,-2406,-7.710302836,1,0,0,1,0,50.87961366,1,283,371,395.25,400.6,477.8333333,513.4285714,555.375,576.7777778,599.8,448.8333333,493.4666667,591.8363636,149.8652291,138.7918123,92.69756586,131.7535545,134,31.7535545,1,1,1,1,1,40.66666667,1,0,0,1,1,0
5/2/12,83.71142571,106847300,82.89142614,83.91428371,82.69428257,13268.57,3059.850098,14.29,28794,44.44760274,1,-55.55239726,40.94154285,1,28796.5,28782.66667,28197.75,28986,29355.83333,29247.14286,29223.625,28857.66667,28728,28396.5,29243.46667,28740,100.0393756,99.33761126,100.229741,89.59208438,-3345,-10.40791562,0,1,1,0,0,36.5921477,0,486.5,327.6666667,382.5,399.6,403.3333333,469.1428571,501.375,540,560.8,394,406.0666667,534.6545455,127.2634791,104.3543544,74.35805991,89.1025641,-51,-6.007067138,0,0,0,0,0,49.81440238,1,1,1,0,1,0
5/3/12,83.11714171,97637400,84.35713957,84.48571771,82.90000157,13206.59,3024.300049,14.19,28348,41.10345772,0,-58.89654228,43.82940559,1,28571,28647,28674,28227.8,28879.66667,29211.85714,29134.75,29126.33333,28806.7,28565.33333,28773.33333,28723.3,98.95626069,100.4258214,98.40766211,107.204175,1905,7.204175018,0,0,0,0,1,27.70786781,0,213,327.3333333,248,307.8,334.5,347,411.625,446.6666667,486.9,168.3333333,269.4,400.0090909,2.749490835,2.923976608,1.848428835,1.645338208,-538,-67.67295597,0,0,0,0,0,36.57109421,0,0,0,0,0,1
5/4/12,80.75,132498100,82.44000243,82.62285614,80.73857114,13038.27,2956.340088,13.78,26900,15.70882813,0,-84.29117187,45.89312594,1,27624,28014,28210.25,28319.2,28006.5,28596.85714,28922.875,28886.44444,28903.7,27773.5,27785.2,28539.39091,96.02341686,94.988559,93.06766954,93.54894801,-1855,-6.451051991,0,0,0,0,0,55.37015276,1,279.5,325.3333333,383,308.4,348.1666667,365.2857143,372.375,427,457,438.6666667,388.5333333,473.9090909,169.057377,178.3398184,120.3501094,5500,540,72.28915663,1,0,1,1,1,50.06909258,1,0,0,1,0,0
5/7/12,81.35428614,115029600,80.21428686,81.82428743,80.17571257,13008.53,2957.76001,13.89,27933,22.19159284,1,-77.80840716,37.0940841,0,27416.5,27727,27993.75,28154.8,28254.83333,27996,28513.875,28812.88889,28791.1,27973.5,28190.46667,28635.08182,100.7429581,99.21221248,97.01956507,96.99295114,-866,-3.007048856,1,0,1,1,1,36.18951613,0,279,189,246,308,258.3333333,299.5714286,320.625,331.8888889,385.1,166.6666667,208.2666667,316.5363636,4.232804233,2.597402597,2.077382498,1.438848921,-548,-67.90582404,0,0,0,0,0,49.95404412,0,1,1,0,1,1
5/8/12,81.16857143,124313000,81.36856843,81.64286043,79.818573,12932.09,2946.27002,13.85,28899,20.92064762,0,-79.07935238,37.10836684,1,28416,27910.66667,28020,28174.8,28278.83333,28346.85714,28108.875,28556.66667,28821.5,28313,28402.86667,28835.59091,103.5410596,102.570382,100.2688965,100.3646593,105,0.364659304,1,1,1,1,1,51.28270908,1,279,369.3333333,279.25,306.8,348.3333333,300,330.875,346.1111111,353.7,369.5,388.6666667,389.3909091,148.9169675,179.2698827,155.4990105,131.8944844,133,17.78074866,1,1,1,1,1,49.86187845,0,0,0,1,0,0
5/9/12,81.31143186,120176000,80.52857214,81.99714657,80.12142943,12835.06,2934.709961,13.88,28583,22.50798571,1,-77.49201429,43.27985936,1,28741,28471.66667,28078.75,28132.6,28242.83333,28322.28571,28376.375,28161.55556,28559.3,28246.83333,28310.86667,28563.60909,100.391032,101.6009896,100.0829852,100.8289826,235,0.828982644,0,1,0,0,1,47.49346638,0,527.5,354.3333333,403.25,324.4,339.8333333,370.7142857,325.625,350.2222222,362,437.1666667,372.8666667,388,142.5211665,155.6720099,139.5027624,5611.111111,496,58.42167256,0,0,0,0,1,52.1174206,1,1,1,1,1,0
5/10/12,81.50285343,83300000,82.08285529,82.26857,81.20571143,12855.04,2933.639893,13.91,27879,24.63489206,1,-75.36510794,48.99786949,1,28231,28453.66667,28323.5,28038.8,28090.33333,28190.85714,28266.875,28321.11111,28133.3,28175.33333,28048.06667,28087.06364,97.98034231,99.43007547,99.09608898,103.6394052,979,3.639405204,0,0,0,0,1,44.75039176,0,511,524,395,426,356.5,365.1428571,389,346.8888889,366.9,435.6666667,388.6,394.1909091,98.66412214,121.3615023,140.9103298,94,-33,-4.539202201,1,1,1,0,0,65.10107015,1,0,0,0,0,1
5/11/12,80.95857243,99886500,80.71428686,82.06714629,80.62142943,12820.6,2933.820068,13.82,25679,18.5873254,0,-81.4126746,48.00831347,0,26779,27380.33333,27760,27794.6,27645.5,27745.85714,27876.875,27979.33333,28056.9,27066.33333,27252.2,27624.55455,93.7862943,92.38844955,91.52472297,91.9306913,-2254,-8.069308703,0,0,0,0,0,38.30235677,0,262.5,343.3333333,395,317.6,356.3333333,306.7142857,320.5,346.6666667,313,266,286.6666667,257.5454545,2.330097087,2.518891688,2.555910543,100,0,0,0,0,0,0,1,33.57575758,0,0,0,0,0,0
5/14/12,79.74571229,88156600,80.36714171,81.07286071,79.65714257,12695.35,2902.580078,13.61,28538,1.026470301,0,-98.9735297,49.15807546,1,27108.5,27365.33333,27669.75,27915.6,27918.5,27773,27844.875,27950.33333,28035.2,27959.16667,28042.4,28126.61818,104.2852271,102.2295777,101.7934597,98.75082183,-361,-1.249178172,1,0,1,1,1,54.29382541,1,260,345.6666667,385.5,418.4,350,378.5714286,332.375,341.7777778,363.2,427.6666667,382.4,390.2545455,148.1195757,122.3709369,140.969163,93.09090909,-38,-9.004739336,1,1,1,1,0,65.63275434,1,1,0,0,0,1
